pixel_id,latitude,longitude
11218,-15.0000,-59.2500
11219,-15.0000,-59.0000
11314,-14.7500,-72.2500
11315,-14.7500,-72.0000
11316,-14.7500,-71.7500
11317,-14.7500,-71.5000
11318,-14.7500,-71.2500
11319,-14.7500,-71.0000
11327,-14.7500,-69.0000
11328,-14.7500,-68.7500
11329,-14.7500,-68.5000
11330,-14.7500,-68.2500
11331,-14.7500,-68.0000
11332,-14.7500,-67.7500
11333,-14.7500,-67.5000
11334,-14.7500,-67.2500
11335,-14.7500,-67.0000
11336,-14.7500,-66.7500
11337,-14.7500,-66.5000
11338,-14.7500,-66.2500
11339,-14.7500,-66.0000
11340,-14.7500,-65.7500
